"Year","Month","Day","Date","Type","Area"
"2015","04","04","2015-04-02","NDWI","1.1484"
"2015","04","04","2015-04-18","NDWI","0.4275"
"2015","05","05","2015-05-04","NDWI","2.745"
"2015","07","07","2015-07-07","NDWI","3.6081"
"2015","07","07","2015-07-23","NDWI","3.9132"
"2015","10","10","2015-10-11","NDWI","5.9067"
"2015","11","11","2015-11-28","NDWI","6.1047"
"2015","12","12","2015-12-14","NDWI","5.7366"
"2015","12","12","2015-12-30","NDWI","4.6179"
"2016","01","01","2016-01-15","NDWI","4.2642"
"2016","03","03","2016-03-03","NDWI","2.6163"
"2016","03","03","2016-03-19","NDWI","1.3617"
"2016","04","04","2016-04-04","NDWI","0"
"2016","05","05","2016-05-22","NDWI","0.5931"
"2016","06","06","2016-06-07","NDWI","1.1736"
"2016","09","09","2016-09-27","NDWI","4.2696"
"2016","11","11","2016-11-14","NDWI","6.3018"
"2017","01","01","2017-01-01","NDWI","1.8657"
"2017","01","01","2017-01-17","NDWI","3.672"
"2017","02","02","2017-02-02","NDWI","3.8313"
"2017","02","02","2017-02-18","NDWI","0.0675"
"2017","03","03","2017-03-06","NDWI","0.6453"
"2017","06","06","2017-06-10","NDWI","2.1051"
"2017","07","07","2017-07-12","NDWI","1.962"
"2017","08","08","2017-08-29","NDWI","5.0193"
"2017","11","11","2017-11-17","NDWI","5.0301"
"2017","12","12","2017-12-03","NDWI","4.5027"
"2017","12","12","2017-12-19","NDWI","2.4957"
"2018","01","01","2018-01-04","NDWI","9e-04"
"2018","02","02","2018-02-05","NDWI","0"
"2018","02","02","2018-02-21","NDWI","0"
"2018","03","03","2018-03-09","NDWI","0"
"2018","03","03","2018-03-25","NDWI","0"
"2018","04","04","2018-04-26","NDWI","0"
"2018","05","05","2018-05-12","NDWI","9e-04"
"2018","06","06","2018-06-13","NDWI","0.4527"
"2018","07","07","2018-07-31","NDWI","1.206"
"2018","08","08","2018-08-16","NDWI","1.3896"
"2018","09","09","2018-09-01","NDWI","1.4103"
"2018","10","10","2018-10-03","NDWI","1.0854"
"2018","10","10","2018-10-19","NDWI","1.0062"
"2018","11","11","2018-11-04","NDWI","0.9639"
"2018","11","11","2018-11-20","NDWI","0.1197"
"2018","12","12","2018-12-06","NDWI","0"
"2019","01","01","2019-01-23","NDWI","0"
"2019","02","02","2019-02-08","NDWI","0"
"2019","02","02","2019-02-24","NDWI","0"
"2019","03","03","2019-03-12","NDWI","0"
"2019","06","06","2019-06-16","NDWI","0.5769"
"2019","08","08","2019-08-03","NDWI","0"
"2019","09","09","2019-09-20","NDWI","0"
"2019","10","10","2019-10-06","NDWI","0"
"2019","10","10","2019-10-22","NDWI","0"
"2019","11","11","2019-11-07","NDWI","0"
"2019","11","11","2019-11-23","NDWI","0"
"2019","12","12","2019-12-09","NDWI","0"
"2019","12","12","2019-12-25","NDWI","9e-04"
